site_name,region_type,feature_group,pixels,finite_valid_pixels,finite_valid_fraction,strict_valid_pixels,strict_valid_fraction,pixels_with_nodata,nodata_fraction,coverage_gate_passed
Saumankol,positive_aoi,all_features,82944,82944,1.0,82943,0.9999879436728395,1,1.2056327160493826e-05,True
Saumankol,positive_aoi,dem_features,82944,82944,1.0,82944,1.0,0,0.0,True
Saumankol,positive_aoi,sentinel2_features,82944,82944,1.0,82943,0.9999879436728395,1,1.2056327160493826e-05,True
Saumankol,positive_aoi,landsat8_features,82944,82944,1.0,82944,1.0,0,0.0,True
Saumankol,positive_aoi,prior_features,82944,82944,1.0,82944,1.0,0,0.0,True
Saumankol,positive_aoi,lithology_features,82944,82944,1.0,82944,1.0,0,0.0,True
Saumankol,positive_aoi,fault_features,82944,82944,1.0,82944,1.0,0,0.0,True
Saumankol,positive_aoi,spectral_features,82944,82944,1.0,82943,0.9999879436728395,1,1.2056327160493826e-05,True
Saumankol,positive_aoi,external_prior_features,82944,82944,1.0,82944,1.0,0,0.0,True
Saumankol,local_background,all_features,3187446,3187446,1.0,3187427,0.9999940391147019,19,5.960885298135247e-06,True
Saumankol,local_background,dem_features,3187446,3187446,1.0,3187446,1.0,0,0.0,True
Saumankol,local_background,sentinel2_features,3187446,3187446,1.0,3187433,0.9999959214995329,13,4.078500467145169e-06,True
Saumankol,local_background,landsat8_features,3187446,3187446,1.0,3187440,0.999998117615169,6,1.882384830990078e-06,True
Saumankol,local_background,prior_features,3187446,3187446,1.0,3187446,1.0,0,0.0,True
Saumankol,local_background,lithology_features,3187446,3187446,1.0,3187446,1.0,0,0.0,True
Saumankol,local_background,fault_features,3187446,3187446,1.0,3187446,1.0,0,0.0,True
Saumankol,local_background,spectral_features,3187446,3187446,1.0,3187427,0.9999940391147019,19,5.960885298135247e-06,True
Saumankol,local_background,external_prior_features,3187446,3187446,1.0,3187446,1.0,0,0.0,True
Shchuchinsk,positive_aoi,all_features,82944,82944,1.0,82944,1.0,0,0.0,True
Shchuchinsk,positive_aoi,dem_features,82944,82944,1.0,82944,1.0,0,0.0,True
Shchuchinsk,positive_aoi,sentinel2_features,82944,82944,1.0,82944,1.0,0,0.0,True
Shchuchinsk,positive_aoi,landsat8_features,82944,82944,1.0,82944,1.0,0,0.0,True
Shchuchinsk,positive_aoi,prior_features,82944,82944,1.0,82944,1.0,0,0.0,True
Shchuchinsk,positive_aoi,lithology_features,82944,82944,1.0,82944,1.0,0,0.0,True
Shchuchinsk,positive_aoi,fault_features,82944,82944,1.0,82944,1.0,0,0.0,True
Shchuchinsk,positive_aoi,spectral_features,82944,82944,1.0,82944,1.0,0,0.0,True
Shchuchinsk,positive_aoi,external_prior_features,82944,82944,1.0,82944,1.0,0,0.0,True
Shchuchinsk,local_background,all_features,3162949,3162949,1.0,3162171,0.9997540270171918,778,0.0002459729828081325,True
Shchuchinsk,local_background,dem_features,3162949,3162949,1.0,3162949,1.0,0,0.0,True
Shchuchinsk,local_background,sentinel2_features,3162949,3162949,1.0,3162949,1.0,0,0.0,True
Shchuchinsk,local_background,landsat8_features,3162949,3162949,1.0,3162171,0.9997540270171918,778,0.0002459729828081325,True
Shchuchinsk,local_background,prior_features,3162949,3162949,1.0,3162949,1.0,0,0.0,True
Shchuchinsk,local_background,lithology_features,3162949,3162949,1.0,3162949,1.0,0,0.0,True
Shchuchinsk,local_background,fault_features,3162949,3162949,1.0,3162949,1.0,0,0.0,True
Shchuchinsk,local_background,spectral_features,3162949,3162949,1.0,3162171,0.9997540270171918,778,0.0002459729828081325,True
Shchuchinsk,local_background,external_prior_features,3162949,3162949,1.0,3162949,1.0,0,0.0,True
Suvorovka,positive_aoi,all_features,82944,82944,1.0,82944,1.0,0,0.0,True
Suvorovka,positive_aoi,dem_features,82944,82944,1.0,82944,1.0,0,0.0,True
Suvorovka,positive_aoi,sentinel2_features,82944,82944,1.0,82944,1.0,0,0.0,True
Suvorovka,positive_aoi,landsat8_features,82944,82944,1.0,82944,1.0,0,0.0,True
Suvorovka,positive_aoi,prior_features,82944,82944,1.0,82944,1.0,0,0.0,True
Suvorovka,positive_aoi,lithology_features,82944,82944,1.0,82944,1.0,0,0.0,True
Suvorovka,positive_aoi,fault_features,82944,82944,1.0,82944,1.0,0,0.0,True
Suvorovka,positive_aoi,spectral_features,82944,82944,1.0,82944,1.0,0,0.0,True
Suvorovka,positive_aoi,external_prior_features,82944,82944,1.0,82944,1.0,0,0.0,True
Suvorovka,local_background,all_features,3124049,3124049,1.0,3124041,0.9999974392207036,8,2.560779296355467e-06,True
Suvorovka,local_background,dem_features,3124049,3124049,1.0,3124049,1.0,0,0.0,True
Suvorovka,local_background,sentinel2_features,3124049,3124049,1.0,3124041,0.9999974392207036,8,2.560779296355467e-06,True
Suvorovka,local_background,landsat8_features,3124049,3124049,1.0,3124049,1.0,0,0.0,True
Suvorovka,local_background,prior_features,3124049,3124049,1.0,3124049,1.0,0,0.0,True
Suvorovka,local_background,lithology_features,3124049,3124049,1.0,3124049,1.0,0,0.0,True
Suvorovka,local_background,fault_features,3124049,3124049,1.0,3124049,1.0,0,0.0,True
Suvorovka,local_background,spectral_features,3124049,3124049,1.0,3124041,0.9999974392207036,8,2.560779296355467e-06,True
Suvorovka,local_background,external_prior_features,3124049,3124049,1.0,3124049,1.0,0,0.0,True
