site_name,figure_png,block_minx,block_miny,block_maxx,block_maxy,proxy_pixels,strict_valid_proxy_pixels,strict_valid_proxy_fraction,sgd_platt_proxy_mean,sgd_platt_proxy_q95,rf_score_proxy_mean,rf_score_proxy_q95,rf_topk_proxy_pixels,rf_topk_proxy_fraction
Aksu,/Users/dela/XaiGis/paper_runs/ex_01/runs/ex_01_final_maps_external_priors/artifacts/site_figures/figures/aksu_final_map_review.png,71.62764978140362,52.23410888003881,72.29651878823144,52.67354534968977,82944,82923,0.9997468171296297,0.41617128252983093,0.5220348238945007,0.849193274974823,0.9925000071525574,79933,0.9639424526367836
Atbasar,/Users/dela/XaiGis/paper_runs/ex_01/runs/ex_01_final_maps_external_priors/artifacts/site_figures/figures/atbasar_final_map_review.png,68.03572547284536,51.58911082252853,68.6964158219652,52.028753452831765,82944,82944,1.0,0.3564069867134094,0.4157786354422569,0.8181770443916321,0.9850000143051147,78066,0.9411892361111112
Chistopoloe,/Users/dela/XaiGis/paper_runs/ex_01/runs/ex_01_final_maps_external_priors/artifacts/site_figures/figures/chistopoloe_final_map_review.png,66.91650631458938,52.34134052503487,67.58700440972498,52.780885242906294,82944,82891,0.9993610146604939,0.3808874785900116,0.4917156547307968,0.8311184048652649,0.9900000095367432,77955,0.9404519187849103
Saumankol,/Users/dela/XaiGis/paper_runs/ex_01/runs/ex_01_final_maps_external_priors/artifacts/site_figures/figures/saumankol_final_map_review.png,67.75848347500104,53.07400983373772,68.4391277486617,53.51355460250019,82944,82943,0.9999879436728395,0.3577043116092682,0.5149573683738708,0.7689730525016785,0.987500011920929,73359,0.8844507673944757
Shchuchinsk,/Users/dela/XaiGis/paper_runs/ex_01/runs/ex_01_final_maps_external_priors/artifacts/site_figures/figures/shchuchinsk_final_map_review.png,69.90261099663067,52.69793331956467,70.57800686900073,53.13748673308868,82944,82944,1.0,0.35749417543411255,0.4445574805140495,0.7850248217582703,0.9775000214576721,76849,0.9265166859567902
Suvorovka,/Users/dela/XaiGis/paper_runs/ex_01/runs/ex_01_final_maps_external_priors/artifacts/site_figures/figures/suvorovka_final_map_review.png,69.30603003553162,52.07286178609677,69.97303417867136,52.512474744392044,82944,82944,1.0,0.38202130794525146,0.4821112647652625,0.8417673110961914,0.987500011920929,78621,0.9478804976851852
