model,roc_auc,pr_auc,precision,recall,f1,confusion_matrix,precision_at_top1pct,recall_at_top1pct,lift_at_top1pct,precision_at_top5pct,recall_at_top5pct,lift_at_top5pct,precision_at_top10pct,recall_at_top10pct,lift_at_top10pct,macro_roc_auc_mean,macro_roc_auc_std,macro_pr_auc_mean,macro_pr_auc_std,macro_precision_mean,macro_precision_std,macro_recall_mean,macro_recall_std,macro_f1_mean,macro_f1_std,macro_precision_at_top1pct_mean,macro_precision_at_top1pct_std,macro_recall_at_top1pct_mean,macro_recall_at_top1pct_std,macro_lift_at_top1pct_mean,macro_lift_at_top1pct_std,macro_precision_at_top5pct_mean,macro_precision_at_top5pct_std,macro_recall_at_top5pct_mean,macro_recall_at_top5pct_std,macro_lift_at_top5pct_mean,macro_lift_at_top5pct_std,macro_precision_at_top10pct_mean,macro_precision_at_top10pct_std,macro_recall_at_top10pct_mean,macro_recall_at_top10pct_std,macro_lift_at_top10pct_mean,macro_lift_at_top10pct_std
sgd,0.6173485955902777,0.40956660411843937,0.39838770153730785,0.053125,0.09374862134380377,"[[230373, 9627], [113625, 6375]]",0.215,0.00645,0.645,0.40905555555555556,0.061358333333333334,1.2271666666666667,0.44283333333333336,0.13285,1.3285000000000002,0.6478961395833333,0.11859062742436766,0.466357652169314,0.12032553429284584,0.556252927337277,0.2665255292624024,0.053125000000000006,0.04071769578451119,0.09205385095341827,0.07119596146767276,0.5241666666666667,0.30123956874517294,0.015725,0.009037187062355189,1.5725,0.9037187062355189,0.5077222222222223,0.2614959882136853,0.07615833333333333,0.0392243982320528,1.5231666666666666,0.784487964641056,0.4937777777777777,0.22878759355123032,0.14813333333333334,0.0686362780653691,1.4813333333333336,0.686362780653691
rf,0.5371609393923611,0.39900920659946154,0.553016453382084,0.010083333333333333,0.01980554555275477,"[[239022, 978], [118790, 1210]]",0.6,0.018,1.8,0.5995,0.089925,1.7985000000000002,0.5146388888888889,0.15439166666666668,1.5439166666666666,0.5510258860416667,0.16025289557423758,0.3954959786701022,0.13066940799407342,0.28553826635373963,0.37238785603453434,0.010083333333333331,0.0206872102195213,0.01867151422041415,0.03782201230181328,0.3516666666666666,0.29386693889884546,0.010549999999999999,0.008816008166965364,1.055,0.8816008166965364,0.39716666666666667,0.27432460496442695,0.059574999999999996,0.04114869074466404,1.1915000000000002,0.8229738148932808,0.4040277777777777,0.25638806127228886,0.12120833333333335,0.07691641838168667,1.2120833333333334,0.7691641838168666
xgb,0.4997378198263889,0.3687193437765938,0.4837950630438643,0.09080833333333334,0.1529145968398305,"[[228373, 11627], [109103, 10897]]",0.5358333333333334,0.016075,1.6075000000000002,0.5007777777777778,0.07511666666666666,1.5023333333333333,0.45230555555555557,0.13569166666666665,1.3569166666666668,0.5110982169791667,0.20637650777052366,0.37106521444821566,0.1303931437570189,0.30042915838984546,0.2788787845428626,0.09080833333333332,0.1700880284342983,0.11290529033361357,0.18302039685253998,0.3930555555555555,0.3020861110983398,0.011791666666666666,0.009062583332950194,1.1791666666666667,0.9062583332950196,0.34594444444444444,0.2428942537783027,0.05189166666666666,0.036434138066745406,1.0378333333333334,0.7286827613349082,0.3449444444444445,0.24511212098109683,0.10348333333333333,0.07353363629432905,1.0348333333333335,0.7353363629432905
lgbm,0.5073549465625,0.36538994348198645,0.4751085867023054,0.0711,0.12368981864045579,"[[230574, 9426], [111468, 8532]]",0.4266666666666667,0.0128,1.2800000000000002,0.47505555555555556,0.07125833333333334,1.4251666666666667,0.4482777777777778,0.13448333333333334,1.3448333333333333,0.5174525472916667,0.19557478905148115,0.36754994747123737,0.12161848707760904,0.29816834310232904,0.2930770916004993,0.0711,0.12098646205257844,0.09940665500786927,0.14935516176674132,0.34638888888888886,0.29662437276548687,0.010391666666666667,0.008898731182964607,1.0391666666666668,0.8898731182964608,0.3314444444444445,0.2390622110262112,0.049716666666666666,0.03585933165393169,0.9943333333333335,0.7171866330786337,0.33302777777777776,0.23171082113192218,0.09990833333333332,0.06951324633957665,0.9990833333333332,0.6951324633957665
