feature_group,features,pixels,finite_valid_pixels,finite_valid_fraction,strict_valid_pixels,strict_valid_fraction,pixels_with_nodata,nodata_fraction
all_features,33,134070573,134070573,1.0,21971235,0.1638781315568779,112099338,0.8361218684431221
dem_features,7,134070573,134070573,1.0,134018765,0.999613576649665,51808,0.0003864233503350508
sentinel2_features,5,134070573,134070573,1.0,21976042,0.16391398580805647,112094531,0.8360860141919435
landsat8_features,5,134070573,134070573,1.0,21974465,0.16390222334620738,112096108,0.8360977766537926
prior_features,3,134070573,134070573,1.0,134018765,0.999613576649665,51808,0.0003864233503350508
lithology_features,11,134070573,134070573,1.0,134070573,1.0,0,0.0
fault_features,2,134070573,134070573,1.0,134018765,0.999613576649665,51808,0.0003864233503350508
spectral_features,10,134070573,134070573,1.0,21974401,0.16390174598567578,112096172,0.8360982540143242
external_prior_features,13,134070573,134070573,1.0,134018765,0.999613576649665,51808,0.0003864233503350508
